granule,containerinstancearn,job_stopped,logstream
S2A_MSIL1C_20200626T085601_N0209_R007_T36UUA_20200626T110145,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/9d2928f561ff4abf8e599fb6ddfcaa90,2021-03-29 15:03:24.413,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/115d328821564531aa6b3fc9588a309b
S2B_MSIL1C_20200615T140059_N0209_R067_T21LXG_20200615T171943,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/309f8b05f64c439b8c374f29cacfc038,2021-03-29 15:05:38.388,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/eeb7bab664b74d058a15402e5e11a1c2
S2A_MSIL1C_20200905T101031_N0209_R022_T32TPR_20200905T122334,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/572057a9a10b46bc8acc498fa19fd9db,2021-03-29 15:07:34.894,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/8827f5301c3a4ed88f36222c7bd3f4ca
S2B_MSIL1C_20200511T160829_N0209_R140_T17RKP_20200511T194622,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/6c6780175bff42c485ce457185d9cbe8,2021-03-29 15:07:49.726,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/1457a8253089471d936200630a6f292f
S2A_MSIL1C_20200117T161611_N0208_R140_T17RKP_20200117T193325,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/48e9f6c730f748a29d177a5cc7299012,2021-03-29 15:07:55.967,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/863fb30f46144813b0af5b98dfa4d5a8
S2A_MSIL1C_20200724T181931_N0209_R127_T16XDF_20200724T215603,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/66fd2ab69c38422fa9700fc5f1fb31bc,2021-03-29 15:07:58.076,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/dfa3298ed7e34f4a9e8dc1e04b8e6bf7
S2A_MSIL1C_20200301T155151_N0209_R054_T18SUJ_20200301T192711,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/a6757044314f430c91d71da2c35a5392,2021-03-29 15:08:23.253,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/b1185aa14e564f5580855d4449474e4d
S2B_MSIL1C_20200414T161829_N0209_R040_T16SFD_20200414T195712,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/05b06682ad0e4534b2cc9aada0cb4422,2021-03-29 15:08:41.67,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/283f42139cbb41c1a46b021825252a74
S2A_MSIL1C_20200806T101031_N0209_R022_T33UVR_20200806T111503,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/8154f1c11e5e4ff0bae03d87e06e493e,2021-03-29 15:08:48.488,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/c8908d760c4a4c71bdcda93ca8f96809
S2A_MSIL1C_20200429T025551_N0209_R032_T50SMF_20200429T054533,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/664331c19e554e6d9e8841f930fe7b25,2021-03-29 15:08:52.909,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/a1e048201fb843d4b2ff6922c531c71d
S2A_MSIL1C_20200518T101031_N0209_R022_T33UVR_20200518T121146,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/e5cd931ff442419dbd40f79a0700c545,2021-03-29 15:09:22.742,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/1d9f12660c11420eb5f7b6b3959fc583
S2B_MSIL1C_20200423T100549_N0209_R022_T32TPR_20200423T135558,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/95c0982f60c04c8484f2bae0e1485a30,2021-03-29 15:09:42.656,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/6db443af55d840bbb280321ba47a01bf
S2B_MSIL1C_20200524T025549_N0209_R032_T52VEP_20200524T055151,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/dda0f8605aec47a396fde1ff55b94615,2021-03-29 15:09:58.43,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/95225b463d1843a28fd44d80ae9baea7
S2B_MSIL1C_20200901T025549_N0209_R032_T50SMF_20200901T051841,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/7874e43e0a5d4cfaae3a119c21c2ec42,2021-03-29 15:10:05.159,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/1a54baa6fcf94148bf5ab147f353dd2a
S2B_MSIL1C_20200922T054639_N0209_R048_T43SCS_20200922T080226,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/d98e3852ac5c4ca980712916068b0974,2021-03-29 15:11:03.873,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/3917c0b2946c40f996b3de6d90121d41
S2B_MSIL1C_20200922T104649_N0209_R051_T31UDQ_20200924T124918,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/d98e3852ac5c4ca980712916068b0974,2021-03-29 15:11:20.091,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/d1635643e12e440fb96b1943371bfff3
